"Year","location","prop.pop","tot.pop"
2012,"Neah Bay",0.000330488930478379,0.365190268178608
2012,"Point of the Arches",0.0759651603352782,83.9415021704824
2012,"Tatoosh Island",0.00282406795726553,3.12059509277841
2012,"Teahwhit Head",0.0144703006464578,15.9896822143359
2013,"Anderson Point",0.0132762770301756,19.6887188357505
2013,"Cape Alava",0.0920191307931273,136.464370966208
2013,"Cape Johnson",0.150356102882509,222.978100574761
2013,"Rock 305",0.135811437405537,201.408361672412
2013,"Chibadehl Rock",0.00615460713001681,9.12728237381493
2013,"Destruction Island",0.433824305236998,643.361444666468
2013,"Neah Bay",0.00191234048925237,2.83600094556127
2013,"Point of the Arches",0.0378580235835946,56.1434489744708
2013,"Tatoosh Island",0.00678934666022035,10.0686010971068
2013,"Teahwhit Head",0.0360078818404781,53.399688769429
2015,"Anderson Point",0.013881848488363,19.3512967927781
2015,"Cape Alava",0.153560345595172,214.06312175967
2015,"Cape Johnson",0.108504163936778,151.254804527869
2015,"Rock 305",0.100480372646685,140.069639469479
2015,"Chibadehl Rock",0.00454803101548795,6.3399552355902
2015,"Destruction Island",0.344913349471329,480.809209163032
2015,"Neah Bay",0.000927872280840125,1.29345395949113
2015,"Point of the Arches",0.0498871044420967,69.5426235922827
2015,"Tatoosh Island",0.00503494029922014,7.01870677711287
2015,"Teahwhit Head",0.00415142155024728,5.78708164104471
